Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments
-,-,-,m,m,m,m,m,m,t,t,t,-,%,knts,%,kW,-,-,t/day,t/day,kW,-,y/n,y/n,m,rpm,y/n,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,m,-,kW (each),-,m3,m3,m3,m3,m3,m3,m3,m$,Y/N,-
Knossos Palace,2000,-,214,181.22,26.4,7,-,15.6,5850,37482,-,-,-,29.5,-,67200,4, Wartsila 16V46C,-,-,11500,2,y,n,5.7,-,y,y,0,2,1,-,-,-,-,-,3,2.8,2190,6,-,216,130,30,-,-,-,-,-,-,700,110,-,-,120,-,2,1300,DNV,1000,-,80,-,-,3000,-,-,Y,-
Olympic Champion,2000,-,204.15,185.4,25.8,6.75,9.8,-,6500,-,-,-,-,29,-,50400,4, Wartsila 12V46C,-,-,-,2,y,n,-,-,y,y,0,2,-,2,-,3,1,0,5,3,1850,-,-,236,70,-,-,2000,-,525,-,-,-,-,-,-,-,-,2,1200,LR,-,-,-,-,-,-,-,-,Y,-
Bithia,2001,luxury,214,192.4,26.4,6.67,10,15.2,5100,36500,-,-,-,23,-,51200,4, Wartsila 12V46C,164,-,8500,2,y,n,5.6,145,y,y,2,0,-,6,-,2,2,0,2,1.9,2700,-,1212,320,77,14,-,900,-,700,-,-,-,-,-,-,-,-,2,1300,RINA,1000,-,80,-,-,3000,-,-,Y,-
European Ambassador,2001,-,169.8,161.6,24,6,9.5,15.7,4884,24206,-,-,-,25.7,90,39600,2, Wartsila 12V38 //  18V38,-,-,7400,2,y,n,4.75,170,y,y,1,1,-,2,-,2,1,0,2,1.4,405,-,222,-,45,17,-,1660,0,290,1950,-,-,-,-,-,-,-,2,1260,LR,1071,-,124,-,-,2669,-,-,Y,-
Golfo Dei Coralli,2001,-,199.4,179.2,25,6.08,8.2,14.2,7100,18450,15925,-,-,22.5,85,18900,2, Wartsila 9L46C,72,14,5400,2,y,n,4.8,131,y,y,0,1,-,2,-,2,1,0,2,0.6,308,-,308,77,23,13,-,2510,-,0,-,-,-,-,-,-,-,-,2,800,RINA,1150,-,80,-,-,5000,-,-,Y,-
Hebrides,2001,-,99.4,91.2,15.8,3.2,5.5,11.2,670,5506,3493,-,-,16.8,85,7680,2, Mak 8M32,15,-,3552,1,y,n,2.55,270,y,n,1,1,-,-,-,1,0,2,2,1.4,612,-,-,-,37,13,-,-,-,-,-,-,108,-,-,10,-,-,2,450,LR,-,-,100,-,-,730,-,-,Y,-
Mega Express,2001,-,176.01,159.7,24.8,6.3,9.3,17.6,3500,23700,14500,-,-,29,85,46800,4, Wartsila 12VR46C,-,-,9800,2,y,n,5,155,y,y,1,2,-,-,-,2,2,2,4,2.2,1860,-,-,294,104,-,-,790,-,1710,-,-,-,-,-,-,-,-,2,1600,RINA,1270,-,131,-,-,988,-,-,Y,-
Nils Holgersson,2001,-,190.75,175,29.5,6.2,9.2,14.65,7200,36648,-,-,41,22,-,29880,2, Mak 8M43 //  7M43 //  6M32,-,-,-,2,n,y,4.5,-,y,y,1,1,2,2,1,2,1,0,3,2.3,744,-,640,220,56,10,-,1450,0,1163,2613,-,-,-,-,-,-,-,2,2400,GL,946,-,70,-,-,2644,-,-,Y,-
Olympia Palace,2001,-,214,191.22,26.4,7.1,10,15.5,6300,37150,-,-,-,29.5,-,67200,4, Wartsila 16V46C,-,-,11560,2,y,n,5.7,150,y,y,0,2,-,2,-,2,2,0,3,2.6,1880,-,706,178,120,24,-,2000,-,495,-,-,-,-,-,-,-,-,2,1000,GL,1000,-,80,-,-,3000,-,-,Y,-
Pride of Rotterdam,2001,-,215,203.7,31.5,6.05,9.4,17.3,9268,59925,-,-,57,22,-,37800,4, Wartsila 9L46C,-,-,-,2,y,n,4.9,153,y,y,0,1,-,4,-,3,1,0,5,3,1360,-,-,546,141,-,-,3355,-,1428,-,-,-,-,-,-,-,-,2,2000,LR,1102,-,182,-,-,3907,-,-,Y,-
